code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.LIST2157,Top Retailers,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002157,False,N/A,False,,US_NYSE
US.LIST2203,Personal Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002203,False,N/A,False,,US_NYSE
US.LIST2211,Aluminum,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002211,False,N/A,False,,US_NYSE
US.LIST2214,Recreational Vehicles,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002214,False,N/A,False,,US_NYSE
US.LIST2216,Conglomerates,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002216,False,N/A,False,,US_NYSE
US.LIST2219,Waste Management,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002219,False,N/A,False,,US_NYSE
US.LIST2220,Medical Distribution,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002220,False,N/A,False,,US_NYSE
US.LIST2224,Oil & Gas Integrated,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002224,False,N/A,False,,US_NYSE
US.LIST2225,Restaurants,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002225,False,N/A,False,,US_NYSE
US.LIST2226,Oil & Gas Midstream,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002226,False,N/A,False,,US_NYSE
US.LIST2227,Pollution & Treatment Controls,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002227,False,N/A,False,,US_NYSE
US.LIST2230,Insurance Brokers,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002230,False,N/A,False,,US_NYSE
US.LIST2234,Airports & Air Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002234,False,N/A,False,,US_NYSE
US.LIST2237,Packaging & Containers,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002237,False,N/A,False,,US_NYSE
US.LIST2240,Discount Stores,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002240,False,N/A,False,,US_NYSE
US.LIST2243,Tools & Accessories,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002243,False,N/A,False,,US_NYSE
US.LIST2245,Industrial Distribution,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002245,False,N/A,False,,US_NYSE
US.LIST2246,Healthcare Plans,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002246,False,N/A,False,,US_NYSE
US.LIST2249,Asset Management,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002249,False,N/A,False,,US_NYSE
US.LIST2252,Information Technology Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002252,False,N/A,False,,US_NYSE
US.LIST2253,Electronic Gaming & Multimedia,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002253,False,N/A,False,,US_NYSE
US.LIST2256,Auto & Truck Dealerships,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002256,False,N/A,False,,US_NYSE
US.LIST2257,Oil & Gas Equipment & Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002257,False,N/A,False,,US_NYSE
US.LIST2260,Capital Markets,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002260,False,N/A,False,,US_NYSE
US.LIST2261,Credit Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002261,False,N/A,False,,US_NYSE
US.LIST2262,Health Information Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002262,False,N/A,False,,US_NYSE
US.LIST2263,Lodging,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002263,False,N/A,False,,US_NYSE
US.LIST2264,Tobacco,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002264,False,N/A,False,,US_NYSE
US.LIST2267,Trucking,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002267,False,N/A,False,,US_NYSE
US.LIST2268,Security & Protection Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002268,False,N/A,False,,US_NYSE
US.LIST2270,Metal Fabrication,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002270,False,N/A,False,,US_NYSE
US.LIST2273,Rental & Leasing Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002273,False,N/A,False,,US_NYSE
US.LIST2274,Oil & Gas Drilling,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002274,False,N/A,False,,US_NYSE
US.LIST2275,Scientific & Technical Instruments,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002275,False,N/A,False,,US_NYSE
US.LIST2276,Luxury Goods,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002276,False,N/A,False,,US_NYSE
US.LIST2280,Medical Devices,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002280,False,N/A,False,,US_NYSE
US.LIST22834,China,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102832,False,N/A,False,,US_NYSE
US.LIST22860,Monthly Dividend ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102858,False,N/A,False,,US_NYSE
US.LIST22861,Quarterly Dividend ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102859,False,N/A,False,,US_NYSE
US.LIST22862,Annual Dividend ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102860,False,N/A,False,,US_NYSE
US.LIST22865,Copper,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102863,False,N/A,False,,US_NYSE
US.LIST22866,US Treasury Bond ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102864,False,N/A,False,,US_NYSE
US.LIST22907,Red Sea Shipping Crisis,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102905,False,N/A,False,,US_NYSE
US.LIST22908,AI PC,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102906,False,N/A,False,,US_NYSE
US.LIST22916,NVIDIA ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102914,False,N/A,False,,US_NYSE
US.LIST22927,Fed Rate Cut Beneficiaries,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102925,False,N/A,False,,US_NYSE
US.LIST22962,Donald Trump,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102960,False,N/A,False,,US_NYSE
US.LIST22995,Infectious Disease,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102993,False,N/A,False,,US_NYSE
US.LIST22996,Fed Rate Cut Beneficiaries ETF,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10102994,False,N/A,False,,US_NYSE
US.LIST23407,High Dividend ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103405,False,N/A,False,,US_NYSE
US.LIST23428,MicroStrategy ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103426,False,N/A,False,,US_NYSE
US.LIST23444,Santa Rally,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103442,False,N/A,False,,US_NYSE
US.LIST23447,Bitcoin ETF with Options,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103445,False,N/A,False,,US_NYSE
US.LIST23478,Black Friday,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103476,False,N/A,False,,US_NYSE
US.LIST23479,GraniteShares ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103477,False,N/A,False,,US_NYSE
US.LIST23492,AI application software,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103490,False,N/A,False,,US_NYSE
US.LIST23494,Spot Crypto ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103492,False,N/A,False,,US_NYSE
US.LIST23518,moomoo jp,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103516,False,N/A,False,,US_NYSE
US.LIST23548,Drone concept stocks,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103546,False,N/A,False,,US_NYSE
US.LIST23560,Top 10 S&P 500 companies by weight 法:Les 10 principaux titres composant le S&P 500,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103558,False,N/A,False,,US_NYSE
US.LIST23562,AI glasses concept stocks,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103560,False,N/A,False,,US_NYSE
US.LIST23563,BATMMAAN,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103561,False,N/A,False,,US_NYSE
US.LIST23566,Crypto ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103564,False,N/A,False,,US_NYSE
US.LIST23582,Stargate Concept Stocks,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103580,False,N/A,False,,US_NYSE
US.LIST23585,DeepSeek Beneficiaries,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103583,False,N/A,False,,US_NYSE
US.LIST23588,Sports Betting,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103586,False,N/A,False,,US_NYSE
US.LIST23590,Intelligent driving concept stocks,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103588,False,N/A,False,,US_NYSE
US.LIST23592,AI medical concept stocks,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103590,False,N/A,False,,US_NYSE
US.LIST23596,China's Terrific,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103594,False,N/A,False,,US_NYSE
US.LIST23666,moomoo Specials,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103664,False,N/A,False,,US_NYSE
US.LIST23679,Safe-Haven Assets,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103677,False,N/A,False,,US_NYSE
US.LIST23700,Rare Earth Stocks,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103698,False,N/A,False,,US_NYSE
US.LIST23702,Stablecoin concept,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103700,False,N/A,False,,US_NYSE
US.LIST23775,ETH-Holding Companies,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103773,False,N/A,False,,US_NYSE
US.LIST23777,Stocks tradable only on moomoo,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10103775,False,N/A,False,,US_NYSE
